YES	Sim
1137	[ENTER]Ainda deseja se registrar?
1138	Você se registrou com sucesso.
1139	Há algo errado com o algoritmo
1140	O evento não está ativo!
1141	Tempo de registro concluído.
1142	Contagem de registro concluída!
1143	Não é possível entrar no pvp com o trabalho do seu personagem!
1144	Seu nível é menor que o nível mínimo!
1145	Seu nível é maior do que o nível máximo
1146	Não é possível registrar-se em outro mapa.
1147	Você não tem preço de aposta suficiente!
1148	Você já se registrou com esse personagem
1149	Você só pode se registrar uma vez por computador.
1150	<GM> Torneio PVP: Estados
1151	Selecione o que você deseja
1152	<GM> Torneio PVP: Bloqueios
1153	Bloquear vNum
1154	Desbloquear vNum
1155	Monstrar
1156	Digite o vNUm do item.
1157	Você quer colocar isso?
1158	Abrir evento
1159	Fechar evento
1160	Fechado com sucesso!
1161	Melhorias perfeitas?
1162	Você já ouviu falar do Enchantments plus? Se sim, vou lhe explicar.
1163	Preste muita atenção!
1164	Há 5 tipos de objetos que têm porcentagens entre:[ENTER]
1165	Isso é feito para melhorar os bônus do seu item para que fique perfeito.
1166	[ENTER]É possível que, se você usar uma porcentagem[ENTER]menor que 100%, seu objeto poderá ser destruído.[ENTER]
1167	Lembre-se e observe que você não pode encantar itens[ENTER]para melhorar a (Média ou Habilidade).[ENTER]
1168	A única maneira de obter esses objetos é por meio de[ENTER]meu cratfeo ou na Loja de Itens.[ENTER]
1169	Boa sorte![ENTER]
VIEW_CRAT	Ver artesanato
NOT_CRAF	Então
VIEW_SHOP	Ver loja
PROMOTION_TITLE_00	Pacote do conjunto Joker!
PROMOTION_TITLE_01	[ENTER]Ava2 recompensa você!
PROMOTION_TITLE_02	Se você tiver feito uma recarga de 100€ em 16-07-2023[ENTER]até que 20-07-2023 em 23:59 você pode solicitar este pacote[ENTER]entrando em contato com um administrador [ENTER]via Discord: https://www.ava2.org/discord [ENTER]ou em nosso sistema de suporte no jogo.
PROMOTION_TITLE_03	[ENTER]Mais uma vez, obrigado por seu apoio![ENTER]
SUNGMA_TEXT_00	Se você se tornar um campeão, poderá subir 30 níveis [ENTER] a mais. Você obterá os pontos de experiência necessários nos novos mapas de Yohara.
SUNGMA_TEXT_01	Você ainda não pode usar esse item!
SUNGMA_TEXT_02	[ENTER] Espere %s para poder usá-lo novamente.
SUNGMA_TEXT_03	Parabéns! Lembre-se de que ele ficará ativo por 2 dias
SUNGMA_TEXT_04	Deseja ativar o bônus?
SUNGMA_TEXT_05	Você já tem esse efeito ativado.
