AFF_LOVE_POINT	Love points: %d%%
INPUT_WINDOW_TEXT	Please enter another name	
INTRO_SELECT_LEVEL	Lv. %d	
INVENTORY_REALLY_USE_ITEM	Use item on %s?
ITEMSHOP_3RDSHOP_COIN	AP's	
ITEMSHOP_3RDSHOP_COINS	%d AP's	
ITEMSHOP_3RDSHOP_NAME	Other shop	
ITEMSHOP_ACCEPT_CHANGE_PRICE	Ok	
ITEMSHOP_ADD_DISCOUNT_DISCOUNT_TITLE	Discount:	
ITEMSHOP_ADD_DISCOUNT_HOUR	h	
ITEMSHOP_ADD_DISCOUNT_MINUTE	m	
ITEMSHOP_ADD_DISCOUNT_SECOND	s	
ITEMSHOP_ADD_DISCOUNT_TITLE1	Apply discount to all category:	
ITEMSHOP_ADD_ITEM_ACCEPT_TEXT_BUTTON	ACCEPT	
ITEMSHOP_ADD_ITEM_BONUS_TITLE	Bonus	
ITEMSHOP_ADD_ITEM_CATEGORY_TITLE	Category:	
ITEMSHOP_ADD_ITEM_PRICE_TITLE	Price:	
ITEMSHOP_ADD_ITEM_RESET_TEXT_BUTTON	Reset	
ITEMSHOP_ADD_ITEM_STONE_TITLE	Stone	
ITEMSHOP_ADD_ITEM_VALUE_TITLE	Value	
ITEMSHOP_ADD_ITEM_VNUM_TITLE	VNUM:	
ITEMSHOP_ADMIN_PANEL_ADD_DISCOUNTS_TEXT_BUTTON	Add Discounts	
ITEMSHOP_ADMIN_PANEL_ADD_DISCOUNTS_TOOLTIP_BUTTON	Add Discounts with Time to an item.	
ITEMSHOP_ADMIN_PANEL_ADD_ITEMS_TEXT_BUTTON	Add items	
ITEMSHOP_ADMIN_PANEL_ADD_ITEMS_TOOLTIP_BUTTON	Add new items to the shop.	
ITEMSHOP_ADMIN_PANEL_NAME	GM Zone	
ITEMSHOP_ADMIN_PANEL_RETURN_TOOLTIP_BUTTON	Return	
ITEMSHOP_ADMIN_PANEL_TITLE	Administration	
ITEMSHOP_BEST_WHEEL_PRIZES	Best Prizes	
ITEMSHOP_BUY	Comprar	
ITEMSHOP_BUY_BUTTON	Buy	
ITEMSHOP_BUY_COIN	Home	
ITEMSHOP_BUY_ITEM_WITHOUT_AMOUNT_QUESTION	Do you want to buy %s by %d %s?	
ITEMSHOP_BUY_ITEM_WITH_AMOUNT_QUESTION	Do you want to buy %sx %s by %d %s?	
ITEMSHOP_BUY_TEXT	Wanna buy |cffF7BD48%s|r ?	
ITEMSHOP_BUY_TEXT_COUNT	Wanna buy |cffF7BD48%sx%d|r ?	
ITEMSHOP_CANCEL_CHANGE_PRICE	Cancel	
ITEMSHOP_CATEGORY_DISCOUNT_QUESTION	Are you sure that you want to apply a discount of %d%% in this category %dH, %dM and %dS?	
ITEMSHOP_CHANGE_PRICE_QUESTION	Are you sure you want to change the price of this article?	
ITEMSHOP_CHANGE_PRICE_TOOLTIP_BUTTON	Change price	
ITEMSHOP_COINS	COINS:	
ITEMSHOP_COUNT	Amount	
ITEMSHOP_DATE	Date: %s	
ITEMSHOP_DELETE_ITEM_QUESTION	Are you sure you want to eliminate this element?	
ITEMSHOP_DELETE_ITEM_TOOLTIP_BUTTON	Eliminate element	
ITEMSHOP_DISCOUNT_WEEK	Discounts of the week	
ITEMSHOP_DRAGONCOINT	Dragon Coins	
ITEMSHOP_DRSSHOP_COIN	VC's	
ITEMSHOP_DRSSHOP_NAME	-	
ITEMSHOP_HOME_NAME	home	
ITEMSHOP_HOTITEMS	|Eishop/hot|ePOPULAR	
ITEMSHOP_HOUR	Hours	
ITEMSHOP_HOURS_MINUTES_SECONDS	%dH %dM %dS	
ITEMSHOP_ISHOP_COIN	MD's	
ITEMSHOP_ISHOP_NAME	Shop	
ITEMSHOP_ITEMSEARCH_DEFAULT_TEXT	Search the itemshop ...	
ITEMSHOP_ITEM_AMOUNT	You.	
ITEMSHOP_ITEM_DISCOUNT_QUESTION	Are you sure you want to apply a discount of %of %to %s for %dH, %dM and %dS?	
ITEMSHOP_LAST_COUNT	Remaining amount: %d	
ITEMSHOP_LAST_DISCOUNTS	Last Discouts	
ITEMSHOP_LOAD	Loading data ...	
ITEMSHOP_LOGS_NAME	Logs	
ITEMSHOP_MAIN_BUTTON	Start	
ITEMSHOP_MOST_BOUGHT_ITEMS	Most Bought Items	
ITEMSHOP_NEW_PRICE_TITLE	New price:	
ITEMSHOP_OFFERS	|Eishop/offer|e OFFERS	
ITEMSHOP_PRICE	Price	
ITEMSHOP_PRICE_NEW	|Eishop/mini_coin|e %s Coins	
ITEMSHOP_PRICE_ONLY_TEXT	%s Coins	
ITEMSHOP_PRICE_TITLE_BOX	Price: %d %s	
ITEMSHOP_PRICE_WITH_DISCOUNT	|Eishop/mini_coin|e |cffFF7B7B%s Coins (%d%%)	
ITEMSHOP_PURCHASES	SHOPPING	
ITEMSHOP_SEARCH_TEXT	Seek...	
ITEMSHOP_SEARCH_TOOLTIP_BUTTON	Seek	
ITEMSHOP_SHOP_BUTTON	Item store	
ITEMSHOP_SHOP_TITLE	Shop:	
ITEMSHOP_TITLE_NAME	Item Shop	
ITEMSHOP_TITLE_PANEL	Item Shop	
ITEMSHOP_TOP_SELL	Best -selling objects	
ITEMSHOP_UPDATE_COINS_TOOLTIP_BUTTON	Update coins	
ITEMSHOP_WHEEL	|Eishop/wheel_icon|e Roulette	
ITEMSHOP_WHEEL_BACK_ISHOP	Itemhop go back	
ITEMSHOP_WHEEL_COIN_TEXT	 |Eishop/coin|e    Price: 10 Coins	
ITEMSHOP_WHEEL_COIN_TEXT_INFO	You will use |cffF7BD48Coins|r to spin.	
ITEMSHOP_WHEEL_NAME	Fate wheel	
ITEMSHOP_WHEEL_PRICE1	Price	
ITEMSHOP_WHEEL_PRICE2	10 coins	
ITEMSHOP_WHEEL_PURCHASE	|Eishop/wheel_icon|e  |cffF7BD48Fortune roulette|r	
ITEMSHOP_WHEEL_SKIP_ANIMATION	Skip animation	
ITEMSHOP_WHEEL_TICKET_TEXT	|Eishop/wheel_ticket|e x1 ticket	
ITEMSHOP_WHEEL_TICKET_TEXT_INFO	Your are using |cffF7BD48Roulette ticket|r to spin.	
ITEM_DROP_EVENT	Drop event of objects: %d%%	
JANUARY	January	
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	None
JOB_ASSASSIN1	Blade Ninja
JOB_ASSASSIN2	Archery Ninja
JOB_SHAMAN	Shaman
JOB_SHAMAN0	None
JOB_SHAMAN1	Dragon Shaman
JOB_SHAMAN2	Healing Shaman
JOB_SURA	Sura
JOB_SURA0	None
JOB_SURA1	Weaponry Sura
JOB_SURA2	Magic Sura
JOB_WARRIOR	Warrior
JOB_WARRIOR0	None
JOB_WARRIOR1	Body Warrior
JOB_WARRIOR2	Mental Warrior
JOB_WOLFMAN	Lycan
JOB_WOLFMAN0	Amateur Lycan
JOB_WOLFMAN1	Instinct
JOB_WOLFMAN2	N.A.
JULY	July	
JUNE	June	
KEY_A	A	
KEY_D	D	
KEY_E	AND	
KEY_L	L	
KEY_N	N	
KEY_S	S	
KEY_V	V	
LEFT_TIME	Time remaining	
LOGIN_CONNECT_FAILURE	Error while connecting to the server.
LOGIN_CONNECT_SUCCESS	You have been connected to the server.
LOGIN_CONNETING	Please wait while you are connected to the server.
LOGIN_FAILURE_ALREAY	Your account is already connected.
LOGIN_FAILURE_BACKEND_ERR	An error has occurred. Please contact Support.
LOGIN_FAILURE_BE_SAME_KEY	Registration problem.
LOGIN_FAILURE_BLOCK_ID	This account has been blocked.
LOGIN_FAILURE_BLOCK_LOGIN	Closed server: only accounts created before the closure may enter. Please choose another one!
LOGIN_FAILURE_COUNTRY_ERR	The country code is incorrect.\nPlease contact Support.
LOGIN_FAILURE_INTEGRTING	This account is currently being merged. Please try again later.
LOGIN_FAILURE_IOVATION_ERR	Please activate the two-factor authentication to access this server.
LOGIN_FAILURE_NOBILL	The account has no playing time.
LOGIN_FAILURE_NOT_AVAIL	The account is not available.
LOGIN_FAILURE_NOT_EXIST_ID	Account name or password incorrect.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	You must verify your account by email.
LOGIN_FAILURE_REPAIR_ID	Items have been restored for this account.
LOGIN_FAILURE_SAMELOGIN	Somebody has connected to your account.
LOGIN_FAILURE_SERVER_GRADE	This account unfortunately cannot access this exclusive server.
LOGIN_FAILURE_SHUTDOWN	The server is not open yet.
LOGIN_FAILURE_STEAM_SESSION	Closed to new registrations and migrated Metin2 accounts.
LOGIN_FAILURE_TNT_SESSION	The client cannot be opened. Please restart the launcher and log in.
LOGIN_FAILURE_TOO_MANY_USER	You could not connect because too many players are online.
LOGIN_FAILURE_UNKNOWN	You could not register for unknown reasons.
LOGIN_FAILURE_WEB_BLOCK	You have been blocked at the website. Please check your EMails.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	You entered a wrong number.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	You entered a wrong number three times. /n Your connection will be disabled.
LOGIN_FAILURE_WRONG_PASSWORD	Account name or password incorrect.
LOGIN_INPUT_ID	Enter the ID.
LOGIN_INPUT_PASSWORD	Enter the password.
LOGIN_PROCESSING	Logging in...
MALL_CANNOT_INSERT	You can't put the object.	
MALL_PASSWORD_TITLE	Password	
MAP_A1	Yongan Area	
MAP_A2	Seungryong Valley	
MAP_A3	Yayang Area	
MAP_AG	Jungrang	
MAP_B1	Joan Area	
MAP_B2	IMJI Valley	
MAP_B3	Bokjung Area	
MAP_BAY	Nephrit bahia	
MAP_BG	Waryong	
MAP_C1	Pyungmoo Area	
MAP_C2	Bangsan Valley	
MAP_C3	Bakra Area	
MAP_CAPE	Cabo del Dragon de Fuego	
MAP_CG	IM Ha	
MAP_DAWN	Gautama cliff	
MAP_DESERT	Yongbi desert	
MAP_FLAME	Doyumhwan	
MAP_NUSLUCK	Land of giants	
MAP_SKELTOWER	Gumsan Tower	
MAP_SNOW	Monte Sohan	
MAP_SPIDER	Kuahlo Dong	
MAP_TEMPLE	Hwang temple	
MAP_THUNDER	Thunder mountains	
MAP_TREE	Lungsam	
MAP_TRENT	Ghost Forest	
MAP_TRENT02	Red Forest	
MAP_WL	Snake field	
MARCH	March	
MAY	May	
MESSENGER_ADD_FRIEND	Add Friend
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s added you as a friend.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accept?
MESSENGER_DO_YOU_DELETE	Delete?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Do you want to delete the cell phone number?
MESSENGER_EMPTY_LIST	Empty
MESSENGER_FAMILY	Family
MESSENGER_FRIEND	Friends
MESSENGER_GUILD	Guild
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Introduce the confirmation code that was sent to your mobile phone.	
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Intruduce confirmation number	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Enter the mobile phone number for sending the text message.	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Do you want to enter the number now?	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Introduce mobile number.	
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Send Message.	
MINIMAP	Open Mini Map
MINIMAP_BOSS_TOOLTIP	[Respawn: %s]
MINIMAP_CANNOT_SEE	Mini Map cannot be seen.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Large Map cannot be shown.
MINIMAP_DEC_SCALE	Zoom out
MINIMAP_INC_SCALE	Zoom in
MINIMAP_OBSERVER_COUNT	%d observers
MINIMAP_SHOW_AREAMAP	Open Large Map
MINUTE	Minutes	
MISSION_BOSS	Chief hunter	
MISSION_BOSS_DESC	Kill all the bosses required for \ncomplete the mission	
MISSION_BOSS_SUB	Boss	
MISSION_CATCH_FISH	The fisherman	
MISSION_CATCH_FISH_DESC	Capture the required amount of fish \n to complete the mission.	
MISSION_CATCH_FISH_SUB	Fish	
MISSION_COMPLETED	Completed:	
MISSION_COMPLETED_COUNT	Completed missions: %d	
MISSION_CRAFT_GAYA	Gaya crack	
MISSION_CRAFT_GAYA_DESC	Craftea the required gay object	
MISSION_CRAFT_ITEM	Improve objects	
MISSION_CRAFT_ITEM_DESC	Level an object with blessing \n to complete the mission	
MISSION_CRAFT_ITEM_SUB	Object to craft:	
MISSION_DATE_TEXT	Name: %s %d	
MISSION_DESTROY_ITEM	Destroy objects	
MISSION_DESTROY_ITEM_DESC	Destroy the object required for \ncomplete the mission.	
MISSION_DUNGEON	Complete dungeons	
MISSION_DUNGEON_DESC	Perform the dungeon required to \nacabar the mission.	
MISSION_DUNGEON_SUB	Dungeon	
MISSION_EARN_MONEY	Gold collector	
MISSION_EARN_MONEY_DESC	Steal yang to the mobs to achieve \nthe required yang and complete the mission.	
MISSION_FEED_PET	Feed your pet	
MISSION_FEED_PET_DESC	Feed your pet so that it does not die	
MISSION_KILLPLAYER	Kill players	
MISSION_KILLPLAYER_DESC	Kill players to complete the mission	
MISSION_LEFT_TIME	Time: %s	
MISSION_LEVEL_UP	Level rise	
MISSION_LEVEL_UP_DESC	Increase your slight level.	
MISSION_MONSTER	Kill monsters	
MISSION_MONSTER_DESC	Kill the required monsters you can to \nfinish the quest.	
MISSION_MONSTER_SUB	Monster	
MISSION_MOUNT_TIME	The horseman	
MISSION_MOUNT_TIME_DESC	Get on the required time.	
MISSION_NONE	Unknown mission	
MISSION_OPEN_OFFLINESHOP	Open offline store	
MISSION_OPEN_OFFLINESHOP_DESC	Open an offline store	
MISSION_PLAYTIME	Active player	
MISSION_PLAYTIME_DESC	Accumulates the amount of minutes required \n to complete the mission.	
MISSION_REFINE_ALCHEMY	Improve your alchemy	
MISSION_REFINE_ALCHEMY_DESC	Improve your alchemy to complete the mission	
MISSION_REFINE_ITEM	Improves an object	
MISSION_REFINE_ITEM_DESC	Improves the required object	
MISSION_REFINE_ITEM_SUB	Object	
MISSION_REMAINING	Amount:	
MISSION_SASH	Sashes	
MISSION_SASH_DESC	Combine all the required sashes	
MISSION_SELL_ITEM	Sell ??objects	
MISSION_SELL_ITEM_DESC	Sell ??the required object	
MISSION_SHOUT_CHAT	Use the global chat	
MISSION_SHOUT_CHAT_DESC	chat with the other players \nusing global chat to complete the mission.	
MISSION_SPEND_MONEY	Merchant	
MISSION_SPEND_MONEY_DESC	Spend the Yang required on an NPC for \ncomplete the mission.	
MISSION_SPRITE_STONE	Add stones	
MISSION_SPRITE_STONE_DESC	Add stones to objects	
MISSION_STATUS_ACTIVE	|cff00ff00Status: Active	
MISSION_STATUS_DONE	|cff00ff00Status: Completed	
MISSION_STATUS_NOT_ACTIVE	|cffff0000Status: ¡Not actived!	
MISSION_STONE	Metines Destroyer	
MISSION_STONE_DESC	Destroys the amount of metines required \n to complete the mission.	
MISSION_SUB_ALL	Any	
MISSION_TASK_COUNT	Total missions: %d	
MISSION_USE_EMOTICON	Use emotions	
MISSION_USE_EMOTICON_DESC	Use emotions to complete the mission	
MISSION_WHISPER	Send mp	
MISSION_WHISPER_DESC	Send MPS to other players	
MONETARY_COMBAT_ZONE	Points	
MONETARY_UNIT0	Yang
MONEY_INPUT_DIALOG_SELLPRICE	Sale price:	
MOONLIGHT_EVENT	Moonlight boxes	
RAMADAN_EVENT	Ramadan Event
MOUNT_DOYUMHWAN_MAP_NAME	Doyumhwan	
MOUNT_SOHAN_MAP_NAME	Sohan mountain	
MOUNT_YONGBI_MAP_NAME	Jongbi desert	
MOVE_CHANNEL_CANCEL	Cancel	
MOVE_CHANNEL_SELECT	Ok	
MOVE_CHANNEL_TITLE	Channels	
MOVE_ITEM_FAILURE_PRIVATE_SHOP	You cannot move any object while you have a private store open.	
MULTI_FARM_ACTIVE_CHAT	|cff00A8EB[Multi-Farm]|r |cffFFFFFF This character has the drop activated!
MULTI_FARM_ACTIVE_TEXT	Do you want to activate the Multi-Farm?	
MULTI_FARM_DEACTIVE_CHAT	|cff00A8EB[Multi-Farm]|r |cffFFFFFF You have deactivated the drop for this character!|r
MULTI_FARM_DEACTIVE_TEXT	Do you want to deactivate Multi-Farm?	
MULTI_FARM_PREMIUM_EFFECT	Increase characters to farm +%d	SA
MULTI_FARM_TEXT	|Eemoji/key_lclick|eClick to ON/OFF Multi-Farm.	
MULTI_FARM_TITLE	Multi-Farm block	
MUSIC_EMPTY_MUSIC_LIST	No Backgroundmusic.
MUSIC_METIN2_DEFAULT_THEMA	M2365 Standard music
MUSIC_NOT_SELECT_MUSIC	No Music file chosen.
NAME_INPUT_PRICE	Price: 100k	
NAME_INPUT_TEXT	Rename	
NAME_PET_INPUT_TEXT	Name of your pet	
NEEFD_REST	You must rest first.	
NEW_AFFECT_DECORATION	Kashmir pack	SNA
NOBONUS	[Without bonus]	
NONE_AFFECT	Without effect	
NORMAL_EVENT_TIME	From the: %s to: %s	
NOT_YET_SUPPORT	Not yet supported	
NOVEMBER	November	
NPC_SEARCH	Search the NPC	
NPC_SEARCH_TEXT	Respawnea on the following maps:	
OCTOBER	October	
OFFLINESHOP_ACCEPT	Yes	
OFFLINESHOP_ADD_TIME_DIALOG	Increase 12h. Cost: %s	
OFFLINESHOP_BUY_DIALOG	Buy item	
OFFLINESHOP_CANCEL	Cancel	
OFFLINESHOP_CANNOT_SELL_ITEM	This item cannot be sold	
OFFLINESHOP_CLOSE	Close Shop
OFFLINESHOP_CREATE	Create Shop
OFFLINESHOP_CLOSE_DIALOG	Do you want to close your offline store?	
OFFLINESHOP_GET_BACK_ITEMS	Do you want to get back items?	
OFFLINESHOP_INPUT_PRICE_DIALOG_TITLE	Price	
OFFLINESHOP_LOGS	Sales	
OFFLINESHOP_LOG_TEXT	|cffe5d500%s|r date |cffe5d500%s[%sYang]|r item buying from. |cffe5d500%s|r
OFFLINESHOP_LOG_TEXT_COUNT	|cffe5d500%s|r date |cffe5d500x%d%s[%s] Yang|r item buying from |cffe5d500%s|r
OFFLINESHOP_MESSAGE	You have sold %s by %s yang	
OFFLINESHOP_MESSAGE_WITH_COUNT	You have sold x%d%s by %s yang	
OFFLINESHOP_REMOVE_LOGS	Do you want to delete records?	
OFFLINESHOP_SEEN	Visualizations: %d Total: %d	
OFFLINE_SHOP_ITEM_SOLD	Item sold!	
OFFLINE_SHOP_ITEM_SOLD2	[Bought by: %s]	
OFFLINE_SHOP_TITLE	Shop	
OK	Ok	
ONLY_CHANNEL	Only in CH %d	
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	You cannot activate Guild Mode when you do not belong to a Guild.
OPTION_PVPMODE_NOT_SUPPORT	You cannot choose this configuration in PvP Mode.
OPTION_PVPMODE_PROTECT	You need to have at least Level %d to be able to change the PvP Mode.
OPTION_SALESTEXT_RANGE	Range Titles Stores	
PARTY_BONUS_ATTACKER	Attack Value: +%d	SA
PARTY_BONUS_BERSERKER	Attck Speed: +%d	SA
PARTY_BONUS_BUFFER	Skill Duration: +%d	SA
PARTY_BONUS_DEFENDER	Defence +%d%%	SA
PARTY_BONUS_EXP	Bonus EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	HP recovery per kill +%d%%	SA
PARTY_BONUS_TANKER	Max. HP: +%d	SA
PARTY_BREAK_UP	Delete Group
PARTY_DO_YOU_ACCEPT	would like to join the Group.
PARTY_DO_YOU_JOIN	has invited you to join his group. Accept?
PARTY_EXP_DISTRIBUTION_MODE	EXP Distribution
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Level dependant
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Higher level group members receive more EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	even
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	All Group members receive the same EXP.
PARTY_HEAL_ALL_MEMBER	Restore everything.	
PARTY_INCREASE_AREA_150	Range of the group heightened of the factor 1.5 .	SNA
PARTY_INCREASE_AREA_200	Range of the group heightened of the factor 2.	SNA
PARTY_LEAVE	Leave group
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Call group member.
PARTY_REQUEST_DENIED	Your request has been declined.
PARTY_SET_ATTACKER	Constitute as Attacker.
PARTY_SET_BERSERKER	Constitute as Berserker.
PARTY_SET_BUFFER	Constitute as Blocker.
PARTY_SET_DEFENDER	Constitute as Defender.
PARTY_SET_NORMAL	Withdraw settings.
PARTY_SET_SKILL_MASTER	Constitute as Skill Master.
PARTY_SET_TANKER	Constitute as blade fighter
PARTY_SKILL_ATTACKER	Base Attack Value Attacker +%.0f
PARTY_SKILL_BERSERKER	Attack Speed Berserker +%.0f
PARTY_SKILL_BUFFER	Skill Duration Blocker +%.0f
PARTY_SKILL_DEFENDER	Defence as Defender +%.0f%%
PARTY_SKILL_SKILL_MASTER	HP regeneration as Skill Master +%.0f%%
PARTY_SKILL_TANKER	Max. HP blade fighter +%.0f
PARTY_SKILL_WARP	Possible to call group members.
PASSWORD_TITLE	Storeroom password
PET_ADD_SLOT_QUESTION	Do you want to unlock this slot?	
PET_DIALOG	You can't use this with the current level of your pet! Necessary level: %d.	
PET_GUI_AGE	Evolve	
PET_GUI_BONUSES	Passive bonus	
PET_GUI_BRAVE	Brave	
PET_GUI_DURATION	Remaining time	
PET_GUI_EVOLVE_BTN	Evolve	
PET_GUI_EXPERIENCE	Experience	
PET_GUI_HERO	Heroic	
PET_GUI_PETSKILL	Skills	
PET_GUI_TITLE	Your pet's information	
PET_GUI_WILD	Wild	
PET_GUI_YOUNG	Young	
PET_PROTEIN_QUESTION_TEXT	Add life to your pet?	
PET_REMOVE_QUESTION_TEXT	Forget all the skills?	
PET_REMOVE_SLOT_QUESTION	Do you want to erase the skill (%s)?	
PET_SKIL_1	Metin Manual
PET_SKIL_10	Esoterica Manual
PET_SKIL_11	Undead Manual
PET_SKIL_12	Demons Manual
PET_SKIL_13	Experience Manual
PET_SKIL_14	Drop Manual
PET_SKIL_15	Yang Manual
PET_SKIL_16	Human M.Manual
PET_SKIL_17	Manual Res M.Human
PET_SKIL_18	Human Damage Manual
PET_SKIL_19	Human Damage Manual Res.
PET_SKIL_2	Monsters Manual
PET_SKIL_20	Media Manual
PET_SKIL_21	Average Res. Manual
PET_SKIL_22	Anti-Critical Manual
PET_SKIL_23	Anti Penetration Manual
PET_SKIL_24	Spell Speed Manual
PET_SKIL_25	Blocking Manual
PET_SKIL_26	Poison Res. Manual
PET_SKIL_27	Ice Manual
PET_SKIL_28	Earth Manual
PET_SKIL_29	Darkness Manual
PET_SKIL_3	Bosses Manual
PET_SKIL_4	Force Manual
PET_SKIL_5	Intelligence Manual
PET_SKIL_6	Dexterity Manual
PET_SKIL_7	Life Manual
PET_SKIL_8	Animal Manual
PET_SKIL_9	Orcs Manual
PICK_ITEM_TITLE	Item Number
PICK_MONEY_TITLE	Sum
PRIVATESHOPSEARCH_BOOKS	Books	
PRIVATESHOPSEARCH_COSTUME	Costumes	
PRIVATESHOPSEARCH_COSTUMES	Cosmetics	
PRIVATESHOPSEARCH_COUNT	Amount	
PRIVATESHOPSEARCH_DRAGONSOULALCHEMY	Dragon Alquimias	
PRIVATESHOPSEARCH_EQUIPMENT	Equipment	
PRIVATESHOPSEARCH_ITEMNAME	item name	
PRIVATESHOPSEARCH_OTHERITEMS	Other objects	
PRIVATESHOPSEARCH_PET	Pet System	
PRIVATESHOPSEARCH_PETS	Pets	
PRIVATESHOPSEARCH_SEARCH_BAR	Global search	
PRIVATESHOPSEARCH_SELLER	Seller	
PRIVATESHOPSEARCH_WEAPON	Weapons	
PRIVATE_SHOP_CANNOT_SELL_ITEM	You cannot sell this object in the private store.	
PRIVATE_SHOP_CLOSE_QUESTION	Do you want to close the private store?	
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Price	
PURCHASES_ACCOUNTID	ID account	
PURCHASES_DATE	Date	
PURCHASES_IP	IP	
PURCHASES_ITEMBOUGHT	Purchased object	
PURCHASES_PRICE	Price	
PURCHASES_PRICE_TEXT	|Eishop/mini_coin|e |cfff7bd48%s dragon coins	
PVP_EVENT_TIME	Start in: %s	
PVP_LEVEL0	Chivalric
PVP_LEVEL1	Noble
PVP_LEVEL2	Good
PVP_LEVEL3	Friendly
PVP_LEVEL4	Neutral
PVP_LEVEL5	Aggressive
PVP_LEVEL6	Fraudulent
PVP_LEVEL7	Malicious
PVP_LEVEL8	Cruel
PVP_MODE_GUILD	PvP - Guild activated
PVP_MODE_KILL	PvP - Free activated
PVP_MODE_NORMAL	PvP - Peace activated
PVP_MODE_PROTECT	PvP - Protection activated
PVP_MODE_REVENGE	PvP - Hostile activated
PVP_OPTION_KILL	Free
PVP_OPTION_NORMAL	Peace
PVP_OPTION_PROTECT	Protection
PVP_OPTION_REVENGE	Hostile
QUEST_MIN	Min.
QUEST_SEC	Sec.
QUEST_TIMEOVER	Time Expired
QUEST_UNLIMITED_TIME	No time limit.
QUICKSLOT_REGISTER_DISABLE_ITEM	This Item cannot be added to the Fast Access Field.
RANKING	Rank	
RARITY_BROKEN_TEXT	|cffFF5D5DBroken Item|r\mAn item you have equipped has broken, repair it.	
RARITY_LOW_TEXT	|cffFFC800An item is about to break |r\mYou have an object with%d%% Use\m Repair it before it breaks.	
RECEIVE_MESSAGE	%s sent you a message.
RED_KINGDOM	|cFFFBB497Shinsoo:|h|r	
REFINE_COST	Cost: %d Yang	
REFINE_COST_UPGRADE	[i] Improvement price	
REFINE_CURRENT_ITEM	[i] current objection	
REFINE_CURRENT_PERCENTAGE	[i] Probability of improvement:%d%%	
REFINE_DESTROY_WARNING	This Item could be destroyed while upgrading.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Do you really want to upgrade this item?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	If you fail, the item will be destroyed. Do you want to continue?
REFINE_DOWN_GRADE_WARNING	The Item could be down graded this way.
REFINE_DO_YOU_SEPARATE_METIN	Do you want to remove all available spirit stones?
REFINE_ELEMENT_CHANGE_TEXT	%s now has the %s element!
REFINE_ELEMENT_DOWNGRADE_TEXT	The elemental enchantment has been downgraded.
REFINE_ELEMENT_TEXT_DARK	Darkness +%d
REFINE_ELEMENT_TEXT_EARTH	Earth +%d
REFINE_ELEMENT_TEXT_ELECT	Lightning +%d
REFINE_ELEMENT_TEXT_FIRE	Fire +%d
REFINE_ELEMENT_TEXT_ICE	Ice +%d
REFINE_ELEMENT_TEXT_WIND	Wind +%d
REFINE_ELEMENT_UPGRADE_FAIL_TEXT	Elemental enchantment failed.
REFINE_ELEMENT_UPGRADE_SUCCESS_TEXT	Elemental enchantment successful!
REFINE_ERROR_ADD_PERC_STONES	[Refine] You cannot increase the percentage of success of the stones.	
REFINE_ERROR_ITEM_COUNT	[Refine] can add only 1 count, no more.	
REFINE_ERROR_ITEM_OVERFLOW_PERCENTAGE	[Refine] The total percentage is above 100, you can't do that.	
REFINE_ERROR_ITEM_VNUM	[Refine] You can't add this article	
REFINE_FAILURE	Oh no, that didn't work! We've failed.
REFINE_FAILURE_CAN_NOT_ATTACH	%s cannot be included in that Item.
REFINE_FAILURE_CAN_NOT_ATTACH0	There is no way to add %s.	
REFINE_FAILURE_EQUIP_ITEM	You cannot upgrade equipped Items.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	No spirit stone can be taken away.
REFINE_FAILURE_NEED_BETTER_SCROLL	You need a better Advancement Scroll.
REFINE_FAILURE_NO_GOLD_SOCKET	There is no Gold socket to include %s .
REFINE_FAILURE_NO_MORE_SOCKET	You cannot add any more sockets.
REFINE_FAILURE_NO_SOCKET0	There is no free socket for the %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	You cannot add any more sockets to this item.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	This Item cannot be upgraded.
