YES	Da
1107	Nu putem deschide un magazin aici din cauza[ENTER]atacurilor montrilor.
1108	Catre Bazar
1109	Exista un loc in care ne putem retrage pentru o[ENTER]vreme.[ENTER]Poþi folosi magazinul acolo.[ENTER]Ai vrea sa mergi acolo?
1110	Confirma
1111	Anuleaza
1112	Mergi in sat.
1113	Odata ce eti gata, te poþi intoarce in sat.[ENTER]Ai vrea sa mergi acolo?
1114	Costa %d de Yang.
1115	Ce Nu e destul Yang? [ENTER]Intoarce-te cand vei avea destul.
1116	Verificai daca suma este corecta: %d Yang.
1117	Nu puteti schimba statutul unui bilet daca nu sunteti gm.
1118	Nu aveti permisiuni pentru a raspunde la bilete.
1119	Raspuns trimis cu succes.
1120	Ati trimis cu succes biletul.
1121	Nu exista niciun personaj cu acest nume.
1122	A aparut o eroare in timpul crearii biletului. Va rugam sa incercati din nou mai tarziu.
1123	Nu aveti permisiuni pentru a face acest lucru.
1124	Nu puteti sterge administratorul principal.
1125	Membrul %s a fost adaugat cu succes.
1126	Membru %s eliminat cu succes.
1127	Nu puteti raspunde la bilet daca acesta este inchis sau rezolvat.
1128	Trebuie sa asteptati un raspuns din partea unui GM inainte de a putea trimite un alt mesaj.
1129	|cff00A8EB[Jucator nou]|r: A sosit unul nou %s cu numele %s, Bine ati venit la Ava2!
1130	Turneu PvP
1131	Arata-ti abilitatile in acest turneu si demonstreaza [ENTER]ca esti cel mai bun.
1132	[ENTER]Doriti sa participati la Turneu?
1133	Mergeti la Turneul PVP, pentru a activa evenimentul.
1134	Inscrieti-va la turneu
1135	Doriti sa va inregistrati pentru un duel pvp?
1136	Duelul are yang %s pentru a paria.
1137	[ENTER]Mai doriti sa va inregistrati?
1138	V-ati inregistrat cu succes.
1139	Ceva nu este in regula cu algoritmul
1140	Evenimentul nu este activ!
1141	Timpul de inregistrare s-a incheiat.
1142	Numaratoarea inregistrarilor a fost facuta!
1143	Nu poti intra in pvp cu personajul tau de job!
1144	Nivelul tau este mai mic decat nivelul minim!
1145	Nivelul tau este mai mare decat nivelul maxim
1146	Nu te poti inregistra pe o alta harta.
1147	Nu ai suficient pret de pariu!
1148	Te-ai inregistrat deja cu acest personaj
1149	Te poti inregistra doar o singura data pe calculator.
1150	<GM> Turneu PVP: State
1151	Selectati ce doriti
1152	<GM> Turneu PVP: Blocuri
1153	Blocul vNum
1154	Unblock vNum
1155	Monstrar
1156	Introduceti vNum obiectului.
1157	Vreti sa puneti asta?
1158	Deschidere eveniment
1159	Inchidere eveniment
1160	Inchis cu succes!
1161	Imbunatatiri perfecte?
1162	Ati auzit de Incantare plus? Daca da, va voi explica.
1163	Fiti foarte atenti la mine!
1164	Exista 5 tipuri de obiecte care au procente intre:[ENTER]
1165	Acest lucru este in scopul de a imbunatati bonusurile obiectului dvs. la perfect.
1166	[ENTER]Exista posibilitatea ca, in cazul in care utilizati un[ENTER]procent mai mica de 100%, obiectul dvs. poate fi distrus.[ENTER]
1167	Amintiti-va si tineti minte ca nu puteti fermeca obiecte[ENTER]pentru a imbunatati (Media sau Abilitatea).[ENTER]
1168	Singura modalitate de a obtine aceste obiecte este prin [ENTER]intermediul cratfeo meu sau in Magazinul de obiecte.[ENTER]
1169	Mult noroc![ENTER]
VIEW_CRAT	Vezi crafting
NOT_CRAF	Apoi
VIEW_SHOP	Vezi magazinul
PROMOTION_TITLE_00	Pachetul Joker Set Pack!
PROMOTION_TITLE_01	[ENTER]Ava2 va rasplateste!
PROMOTION_TITLE_02	Daca ati reincarcat 100€ din 16-07-2023 pana la[ENTER]20-07-2023 la 23:59 puteti revendica acest pachet[ENTER]contactarea unui administrator [ENTER]prin Discord: https://www.ava2.org/discord [ENTER]sau in sistemul nostru de asistenta in joc.
PROMOTION_TITLE_03	[ENTER]Va multumim din nou pentru sprijin![ENTER]
SUNGMA_TEXT_00	Daca devii un campion, vei putea creste cu 30 de niveluri[ENTER]mai mult. Veti obtine punctele de experienta necesare pe noile harti Yohara.
SUNGMA_TEXT_01	Nu puteti folosi acest obiect înca!
SUNGMA_TEXT_02	[ENTER]Asteptati %s înainte de a-l putea folosi din nou.
SUNGMA_TEXT_03	Felicitari! Amintiti-va ca va fi activ timp de 2 zile
SUNGMA_TEXT_04	Doriti sa activati bonusul:
SUNGMA_TEXT_05	Aveti deja acest efect activat.
