YES	Sí
1115	¿Qué? ¿No tienes suficiente Yang?[ENTER]Vuelve una vez tengas suficiente.[ENTER]
1116	Comprueba si la cantidad es correcta: %d Yang.
1117	No puedes cambiar el estado de un ticket si no eres gm.
1118	No tienes permisos para responder tickets.
1119	Respuesta enviada correctamente.
1120	Has enviado el ticket correctamente.
1121	No existe ningún personaje con ese nombre.
1122	Ha ocurrido un error al crear el ticket. Inténtalo de nuevo más tarde.
1123	No tienes permisos para hacer eso.
1124	No puedes eliminar el administrador principal.
1125	Miembro %s añadido con éxito.
1126	Miembro %s borrado con éxito.
1127	No puedes contestar al ticket si éste está cerrado o solucionado.
1128	Debes esperar respuesta de un GM para poder enviar otro mensaje.
1129	|cff00A8EB[Nuevo Jugador]|r: Ha llegado un nuevo %s con el nombre %s, ¡Bienvenido a Ava2!
1130	Torneo PvP
1131	Demuestra tus habilidades en este Torneo y demuestra[ENTER]que eres el mejor.
1132	[ENTER]¿Quieres participar en el Torneo?
1133	Ir al Torneo PVP, para activar el evento.
1134	Registrarse en Torneo
1135	¿Quieres registrarte en un duelo pvp?
1136	El duelo tiene %s de yang para apostar.
1137	[ENTER]¿Aún quieres registrarte?
1138	Se ha registrado correctamente.
1139	Algo va mal en el algoritmo
1140	¡Evento no activo!
1141	Tiempo de registro realizado.
1142	¡Recuento de registros realizado!
1143	¡No puedes unirte a pvp con tu personaje job!
1144	¡Tu nivel es inferior al nivel mínimo!
1145	Tu nivel es mayor que el máximo
1146	No puedes registrarte en otro mapa.
1147	¡No tienes suficiente precio de apuesta!
1148	Ya te has registrado con este personaje
1149	Solo puedes registrarte una vez por ordenador.
1150	<GM> Torneo PVP: Estados
1151	Seleccione lo que desea
1152	<GM> Torneo PVP: Bloqueos
1153	Bloquear vNum
1154	Desbloquear vNum
1155	Monstrar
1156	Ingresa el vNUm del item.
1157	¿Quieres poner esto?
1158	Abrir Evento
1159	Cerrar Evento
1160	¡Cerrado con éxito!
1161	¿Mejoras perfectas?
1162	¿Has oido de los Encantos plus? Pues si es asi te explicaré.
1163	¡Prestame mucha atención!
1164	Hay 5 tipos de objetos los cuales tienen porcentajes entre:[ENTER]
1165	Esto con el fin de mejorar las bonificaciones de tu objeto a perfecto.
1166	[ENTER]Existe la posibilidad de que si usas de un porcentaje[ENTER]inferior al 100% tu objeto puede ser destruido.[ENTER]
1167	Recuerda y ten en cuenta que no puedes encantar objetos[ENTER]para mejorar la (Media o Habilidad).[ENTER]
1168	La unica forma de conseguir estos objetos es mediante[ENTER]mi cratfeo o en la Tienda de Articulos.[ENTER]
1169	¡Buena suerte![ENTER]
VIEW_CRAT	Ver crafteo
NOT_CRAF	Después
VIEW_SHOP	Ver tienda
PROMOTION_TITLE_00	¡Pack del Set Joker!
PROMOTION_TITLE_01	[ENTER]Ava2 te recompensa!
PROMOTION_TITLE_02	Si has recargado 100€‚ desde el día 16-07-2023 hasta el[ENTER]20-07-2023 a las 23:59 puedes reclamar este pack[ENTER]contactando con un Administrador[ENTER]vía Discord: https://www.ava2.org/discord [ENTER]o en nuestro Sistema de Soporte Ingame.
PROMOTION_TITLE_03	[ENTER]¡Gracias nuevamente por su apoyo![ENTER]
SUNGMA_TEXT_00	Si os convertiréis en campeones y podréis subir 30 niveles[ENTER]más. Los puntos de experiencia necesarios los obtendréis en los mapas nuevos de Yohara.
SUNGMA_TEXT_01	¡Aún no puedes usar este item!
SUNGMA_TEXT_02	[ENTER]Espera %s para poder usarlo nuevamente.
SUNGMA_TEXT_03	¡Enhorabuena! Recuerda que estara activo durante 2 días
SUNGMA_TEXT_04	¿Quieres activar el bonus: 
SUNGMA_TEXT_05	Ya tienes este efecto activado.
