AFF_LOVE_POINT	Body za lásku: %d%%
MULTI_FARM_DEACTIVE_TEXT	Chcete deaktivovat slubu Multi-Farm?	
MULTI_FARM_PREMIUM_EFFECT	Zvıšení poètu postav na farm +%d	SA
MULTI_FARM_TEXT	|Eemoji/key_lclick|eKliknìte na ON/OFF Multi-Farm.	
MULTI_FARM_TITLE	Multi-Farm block	
MUSIC_EMPTY_MUSIC_LIST	Bez hudby v pozadí	
MUSIC_ASHIA2_DEFAULT_THEMA	Standardní hudba Nethis
MUSIC_NOT_SELECT_MUSIC	Nebyl zvolen hudební soubor.
NAME_INPUT_PRICE	Cena: 100k	
NAME_INPUT_TEXT	Pøejmenování	
NAME_PET_INPUT_TEXT	Jméno vašeho domácího mazlíèka	
NEEFD_REST	Musíš si nejdøív odpoèinout.
NEW_AFFECT_DECORATION	Kašmírskı balíèek	SNA
NOBONUS	[Bez bonusu]	
NONE_AFFECT	Bez efektu
NORMAL_EVENT_TIME	Od: %s do: %s	
NOT_YET_SUPPORT	Zatím není podporováno	
NOVEMBER	Listopad	
NPC_SEARCH	Vyhledávání NPC		
NPC_SEARCH_TEXT	Respawnea na následujících mapách:	
OCTOBER	Øíjen	
OFFLINESHOP_ACCEPT	Ano	
OFFLINESHOP_ADD_TIME_DIALOG	Zvıšení 12hod. Cena: %s	
OFFLINESHOP_BUY_DIALOG	Koupit poloku	
OFFLINESHOP_CANCEL	Zavøít	
OFFLINESHOP_CANNOT_SELL_ITEM	Tuto poloku nelze prodat	
OFFLINESHOP_CLOSE	Zavøít obchod
OFFLINESHOP_CREATE	Vytvoøit obchod
OFFLINESHOP_CLOSE_DIALOG	Chcete zavøít svùj offline obchod?	
OFFLINESHOP_GET_BACK_ITEMS	Chcete získat zpìt pøedmìty?	
OFFLINESHOP_INPUT_PRICE_DIALOG_TITLE	Cena	
OFFLINESHOP_LOGS	Prodej	
OFFLINESHOP_LOG_TEXT	|cffe5d500%s|r datum |cffe5d500%s[%sYang]|r nákup poloky z. |cffe5d500%s|r
OFFLINESHOP_LOG_TEXT_COUNT	|cffe5d500%s|r datum |cffe5d500x%d%s[%s] Yang|r nákup poloky z |cffe5d500%s|r
OFFLINESHOP_MESSAGE	Prodali jste %s za %s yang	
OFFLINESHOP_MESSAGE_WITH_COUNT	Prodali jste x%d%s za %s yang	
OFFLINESHOP_REMOVE_LOGS	Chcete odstranit záznamy?	
OFFLINESHOP_SEEN	Vizualizace: %d Celkem: %d	
OFFLINE_SHOP_ITEM_SOLD	Poloka prodána!	
OFFLINE_SHOP_ITEM_SOLD2	[Koupil: %s]	
OFFLINE_SHOP_TITLE	Obchod	
OK	Ok	
ONLY_CHANNEL	Pouze v CH %d	
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Pokud nenáleíš k ádnému cechu, nemùeš zaktivovat cechovní modus.
OPTION_PVPMODE_NOT_SUPPORT	Konfiguraci PvP-módu nemùeš pouít.
OPTION_PVPMODE_PROTECT	Abys mohl pøejít do PvP-módu, musíš dosáhnout minimálnì úrovnì %d.
OPTION_SALESTEXT_RANGE	Rozsah Titul Obchody	
PARTY_BONUS_ATTACKER	Hodnota útoku: +%d	SA
PARTY_BONUS_BERSERKER	Rychlost útoku: +%d	SA
PARTY_BONUS_BUFFER	Trvání schopností: +%d	SA
PARTY_BONUS_DEFENDER	Obrana: +%d	SA
PARTY_BONUS_EXP	Bonus BZK: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. MB: +%d	SA
PARTY_BONUS_TANKER	Max. ZB: +%d	SA
PARTY_BREAK_UP	Zrušit skupinu
PARTY_DO_YOU_ACCEPT	 by se rád pøidal do skupiny.
PARTY_DO_YOU_JOIN	 tì pozval do jeho skupiny. Pøijmout?
PARTY_EXP_DISTRIBUTION_MODE	Rozloení BZK
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Podle úrovnì
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Vyšší úroveò obdrí více BZK.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Rovnomìrné rozloení
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Všichni èlenové skupiny obdrí stejnı poèet BZK.
PARTY_HEAL_ALL_MEMBER	Vše znovuobnovit
PARTY_INCREASE_AREA_150	Dosah skupiny byl zvıšen o faktor 1,5.	SNA
PARTY_INCREASE_AREA_200	Dosah skupiny byl zvıšen o faktor 2.	SNA
PARTY_LEAVE	Opustit skupinu
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Pøivolat èlena skupiny.
PARTY_REQUEST_DENIED	Tvùj poadavek byl zamítnut.
PARTY_SET_ATTACKER	Urèit útoèníka.
PARTY_SET_BERSERKER	Urèit zuøivce.
PARTY_SET_BUFFER	Urèit blokátora
PARTY_SET_DEFENDER	Urèit obránce.
PARTY_SET_NORMAL	Odvolat nastavení.
PARTY_SET_SKILL_MASTER	Urèit mistra schopností.
PARTY_SET_TANKER	Zaloit bojovníka zblízka.
PARTY_SKILL_ATTACKER	Základní hodnota útoku útoèníka +%.0f
PARTY_SKILL_BERSERKER	Rychlost útoku zuøivce +%.0f
PARTY_SKILL_BUFFER	Doba trvání schopností blokátora +%.0f
PARTY_SKILL_DEFENDER	Obrana obránce +%.0f
PARTY_SKILL_SKILL_MASTER	Max. MB mistra schopností +%.0f
PARTY_SKILL_TANKER	Max. ZB bojovník zblízka +%.0f
PARTY_SKILL_WARP	Schopen, pøivolat èleny skupiny.
PASSWORD_TITLE	Heslo ke skladišti
PET_ADD_SLOT_QUESTION	Chcete tento slot odemknout?	
PET_DIALOG	S aktuální úrovní vašeho zvíøete ji nemùete pouít! Nutná úroveò: %d.	
PET_GUI_AGE	Evoluce	
PET_GUI_BONUSES	Pasivní bonus	
PET_GUI_BRAVE	Stateènı	
PET_GUI_DURATION	Zbıvající èas	
PET_GUI_EVOLVE_BTN	Evoluce	
PET_GUI_EXPERIENCE	Zkušenosti	
PET_GUI_HERO	Heroic	
PET_GUI_PETSKILL	Dovednosti	
PET_GUI_TITLE	Informace o vašem mazlíèkovi	
PET_GUI_WILD	Divokı	
PET_GUI_YOUNG	Mladı	
PET_PROTEIN_QUESTION_TEXT	Pøidat svému mazlíèkovi ivot?
PET_REMOVE_QUESTION_TEXT	Zapomenout na všechny dovednosti?	
PET_REMOVE_SLOT_QUESTION	Chcete vymazat dovednost (%s)?	
PET_SKIL_1	Metin manuál
PET_SKIL_10	Esoterika Pøíruèka
PET_SKIL_11	Pøíruèka nemrtvıch
PET_SKIL_12	Démoni Pøíruèka
PET_SKIL_13	Pøíruèka zkušeností
PET_SKIL_14	Pøíruèka Dropu
PET_SKIL_15	Pøíruèka Yangu
PET_SKIL_16	Pøíruèka proti Pololidem
PET_SKIL_17	Pøíruèka Res. proti Pololi.
PET_SKIL_18	Pøíruèka poškození Pololidem
PET_SKIL_19	Pøíruèka Res. poškození Pololidem.
PET_SKIL_2	Manuál pro pøíšery
PET_SKIL_20	Pøíruèka pro média
PET_SKIL_21	Prùmìrnı Res. manuál
PET_SKIL_22	Pøíruèka proti kritickım hodnotám
PET_SKIL_23	Manuál proti pronikání
PET_SKIL_24	Manuál rychlosti kouzel
PET_SKIL_25	Manuál blokování
PET_SKIL_26	Pøíruèka pro odolnost proti jedu
PET_SKIL_27	Ledová pøíruèka
PET_SKIL_28	Manual Zemì
PET_SKIL_29	Pøíruèka o temnotì
PET_SKIL_3	Pøíruèka Bossù
PET_SKIL_4	Pøíruèka síly
PET_SKIL_5	Pøíruèka inteligence
PET_SKIL_6	Manuál Zruènosti
PET_SKIL_7	Pøíruèka ivota
PET_SKIL_8	Manual zvíøat
PET_SKIL_9	Manual orkù
PICK_ITEM_TITLE	Poèet pøedmìtù
PICK_MONEY_TITLE	Èástka
PRIVATESHOPSEARCH_BOOKS	Knihy	
PRIVATESHOPSEARCH_COSTUME	Kostımy	
PRIVATESHOPSEARCH_COSTUMES	Kosmetika	
PRIVATESHOPSEARCH_COUNT	Èástka	
PRIVATESHOPSEARCH_DRAGONSOULALCHEMY	Draèí alchymie	
PRIVATESHOPSEARCH_EQUIPMENT	Vybavení	
PRIVATESHOPSEARCH_ITEMNAME	Jméno pøedmìtu	
PRIVATESHOPSEARCH_OTHERITEMS	Ostatní objekty	
PRIVATESHOPSEARCH_PET	Systém mazlíèku	
PRIVATESHOPSEARCH_PETS	Pety	
PRIVATESHOPSEARCH_SEARCH_BAR	Globální vyhledávání	
PRIVATESHOPSEARCH_SELLER	Prodejce	
PRIVATESHOPSEARCH_WEAPON	Zbranì	
PRIVATE_SHOP_CANNOT_SELL_ITEM	Tento pøedmìt nemùeš prodávat v soukromém stánku.
PRIVATE_SHOP_CLOSE_QUESTION	Chceš zavøít soukromı stánek?
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Cena	
PURCHASES_ACCOUNTID	ID úèet	
PURCHASES_DATE	Datum	
PURCHASES_IP	IP	
PURCHASES_ITEMBOUGHT	Zakoupenı objekt	
PURCHASES_PRICE	Price	
PURCHASES_PRICE_TEXT	|Eishop/mini_coin|e |cfff7bd48%s draèí mince	
PVP_EVENT_TIME	Zaènì v: %s	
PVP_LEVEL0	Rytíøskı
PVP_LEVEL1	Vznešenı
PVP_LEVEL2	Dobrı
PVP_LEVEL3	Pøátelskı
PVP_LEVEL4	Neutrální
PVP_LEVEL5	Agresivní
PVP_LEVEL6	Úskoènı
PVP_LEVEL7	Zlomyslnı
PVP_LEVEL8	Krutı
PVP_MODE_GUILD	Cechovní mód PvP byl zaktivován
PVP_MODE_KILL	Mód volného PvP byl zaktivován
PVP_MODE_NORMAL	Mír v PvP byl zaktivován
PVP_MODE_PROTECT	Ochrana PvP byla aktivována.
PVP_MODE_REVENGE	Agresivní PvP byl zaktivován.
PVP_OPTION_KILL	Volno
PVP_OPTION_NORMAL	Mír
PVP_OPTION_PROTECT	Ochrana
PVP_OPTION_REVENGE	Nepøátelskı
QUEST_MIN	min.
QUEST_SEC	sek.
QUEST_TIMEOVER	Èas vypršel
QUEST_UNLIMITED_TIME	Bez èasového omezení
QUICKSLOT_REGISTER_DISABLE_ITEM	Tento pøedmìt nemùe bıt pøidán k poli rychlého pøístupu.
RANKING	Rank	
RARITY_BROKEN_TEXT	|cffFF5D5DBroken Item|r\mAn poloka, kterou jste vybavili, se rozbila, opravte ji.	
RARITY_LOW_TEXT	|cffFFC800An poloka se brzy rozbije|r\mMáte objekt s%d%% Use\m Opravte jej døíve, ne se rozbije.	
RECEIVE_MESSAGE	%s ti poslal/a zprávu.
RED_KINGDOM	|cFFFBB497Shinsoo:|h|r	
REFINE_COST	Náklady na zlepšení: %s Yang
REFINE_COST_UPGRADE	[i] Cena Zlepšení
REFINE_CURRENT_ITEM	[i] Aktuální Predmet
REFINE_CURRENT_PERCENTAGE	[i] Aktualni procento: %d%%
REFINE_DESTROY_WARNING	Pøedmìt by se mohl zušlechtìním znièit.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Opravdu chceš vylepšit tento pøedmìt?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Pokud se to nezdaøí, pøedmìt bude znièen. Pøeješ si pokraèovat?
REFINE_DOWN_GRADE_WARNING	Pøedmìt by se mohl zušlechtìním zhoršit.
REFINE_DO_YOU_SEPARATE_METIN	Chceš odstranit všechny kameny ducha?
REFINE_ELEMENT_CHANGE_TEXT	%s má nyní element %s!
REFINE_ELEMENT_DOWNGRADE_TEXT	Vylepšení elementem bylo sníeno!
REFINE_ELEMENT_TEXT_DARK	Temnota +%d
REFINE_ELEMENT_TEXT_EARTH	Zemì +%d
REFINE_ELEMENT_TEXT_ELECT	Blesk +%d
REFINE_ELEMENT_TEXT_FIRE	Oheò +%d
REFINE_ELEMENT_TEXT_ICE	Led +%d
REFINE_ELEMENT_TEXT_WIND	Vítr +%d
REFINE_ELEMENT_UPGRADE_FAIL_TEXT	Vylepšení elementem selhalo.
REFINE_ELEMENT_UPGRADE_SUCCESS_TEXT	Vylepšení elementem bylo úspìšné.
REFINE_ERROR_ADD_PERC_STONES	Nemùete pøidat lektvary, abyste zvıšili procento úspìšnosti kamenù.
REFINE_ERROR_ITEM_COUNT	Mùeš pøidat pouze jeden lektvar.
REFINE_ERROR_ITEM_OVERFLOW_PERCENTAGE	Celková šance na zlepšení je vyšší ne 100.
REFINE_ERROR_ITEM_VNUM	Nemùeš pøidat tento pøedmìt.
REFINE_FAILURE	Hmm, nojono - tak to neklaplo! Selhali jsme.
REFINE_FAILURE_CAN_NOT_ATTACH	%s nelze pøidat k pøedmìtu.
REFINE_FAILURE_CAN_NOT_ATTACH0	%s nelze pøidat k pøedmìtu.
REFINE_FAILURE_EQUIP_ITEM	Nemùeš vylepšovat pouívané pøedmìty.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nelze odstranit kámen ducha.
REFINE_FAILURE_NEED_BETTER_SCROLL	Potøebuješ lepší pergamen zlepšování.
REFINE_FAILURE_NO_GOLD_SOCKET	Neexistuje ádná úchytka ze zlata, do kterého lze pøidat %s.
REFINE_FAILURE_NO_MORE_SOCKET	Nemùeš pøidat ádné další úchyty.
REFINE_FAILURE_NO_SOCKET0	Neexistuje ádnı úchyt, do kterého lze pøidat %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	K tomuto pøedmìtu nelze pøidat ádnı úchyt.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Tento pøedmìt nelze zlepšit.
REFINE_INCREASE_PERCENTAGE	[Bonus +%d%%]
REFINE_NEED_ITEMS	Potøebnı materiál
REFINE_NEXT_ITEM	Další stupeò
REFINE_PERCENTAGE_EXTRA	+15%	
REFINE_PERCENTAGE_LOW	+5%	
REFINE_PERCENTAGE_MEDIUM	+10%	
REFINE_SUCCESS	Toto zlepšení pøedmìtu bylo úspìšné.
REFINE_SUCCESS_PROBALITY	Šance na zlepšení: %d%%
REFINE_TOOLTIP_ITEM_DESCRIPTION_1	Nehits je hra, ve které vše závisí na štìstí a procentech.
REFINE_TOOLTIP_ITEM_DESCRIPTION_2	Neexistuje ádnı hráè, kterı vìøí, e poloky nemohou selhat.
REFINE_TOOLTIP_ITEM_DESCRIPTION_3	Proto jsme se rozhodli tento systém pro vás zjednodušit.
REFINE_TOOLTIP_ITEM_DESCRIPTION_4	Tento lektvar ti zvıší šanci na zlepšení o %d%%.
REFINE_WARNING2	Chceš pokraèovat?
REVIVE_AUTO_TOWN_MESSAGE	Auto. restartujte ve mìsto	
SAFEBOX_ERROR	Zadal jsi špatné heslo.
SAFEBOX_SELL_DISABLE_SAFEITEM	Nemùeš prodat ádnı z uloenıch pøedmìtù.
SAFEBOX_WRONG_PASSWORD	Hesla musí bıt identická.	
SASH_ABSORB_CHANCE	Stupeò absorpce: %d%%
SASH_ABSORB_CHANCE2	Stupeò absorpce: %d%% ~ %d%%
SASH_DEL_ABSORDITEM	Šerpa 2 bude znièena, pokud jejich kombinace sele.?
SASH_DEL_SERVEITEM	Šerpa 2 bude znièena, pokud jejich kombinace sele.
SASH_DO_YOU_CLEAN	Chcete smazat všechny bonusy ze šerpy?
SASH_FAILURE_CLEAN	ádné bonusy na vymazaní.
SASH_REFINE_COST	Cena absorpce: %d
SAVED_ACCOUNT	Uloené úèty
SAVE_ACCOUNT	Uloené úèty
SCREENSHOT_SAVE1	je uloen v
SCREENSHOT_SAVE2	Sloka screenshotù
SCREENSHOT_SAVE_FAILURE	Uloení screenshotu se nezdaøilo.	
SEARCH_BONUS	S bonusem	
SEARCH_DEFAULT	Vıchozí	
SEARCH_NOBONUS	Bez bonusù	
SECOND	Sek	
SELECT_CAN_NOT_DELETE	Tuto postavu nemùeš smazat.
SELECT_CHANGED_NAME	Zmìnil jsi název postavy.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Tento název postavy u existuje.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Zkus to znovu.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Toto je špatnı název postavy.
SELECT_CHANGE_NAME_TITLE	Zmìnit název postavy
SELECT_DELEING	Postava se mae
SELECT_DELETED	Vymazání úspìšné.
SELECT_DO_YOU_DELETE_REALLY	Chceš pokraèovat?
SELECT_EMPTY_SLOT	Toto je prázdné pole.
SELECT_INPUT_CHANGING_NAME	Zadej novı název postavy.
SELECT_UNKNOWN_LANG	Tento jazyk není v souèasné dobì k dispozici.	
SEPTEMBER	záøí	
SERVERNAME	Nethis
SERVERNAMETEST	Server test	
SERVER_TIME	Èas serveru
SHIP_MAST	Stoár	
SHOP_BUY_INFO	Zvol pøedmìt, kterı chceš koupit, v obchodním oknì.
SHOP_CANNOT_SELL_ITEM	Tento pøedmìt není na prodej.
SHOP_ERROR_UNKNOWN	Neznámá chyba v obchodì: %s
SHOP_EXCEED_LIMIT_TODAY	Dosáhl jsi denního limitu pro pouití bodù.
SHOP_INVALID_POS	Tento pøedmìt není vhodnı.
SHOP_INVENTORY_FULL	V inventáøi u není místo.
SHOP_NOT_ENOUGH_BATTLE_POINT	Nemáš dostatek bitevních bodù.	
SHOP_NOT_ENOUGH_COUNT	Nemáte dostatek objektù.
SHOP_NOT_ENOUGH_MONEY	Nemáš dostatek Yangù.
SHOP_NOT_ENOUGH_MONEY_EX	Nemáš dostatek Yangù.
SHOP_SEARCH_TITLE	Hledání poloek	
SHOP_SELL_INFO	Zvol pøedmìt, kterı chceš prodat, v oknì inventáøe.
SHOP_SOLDOUT	Vyprodáno
SHOT_ERROR_UNKNOWN	Neznámá chyba v útoku na dálku: %s
SKILL_BLEEDING	Krvácení
SKILL_BOHO	Reflektovat
SKILL_CHEONGEUN	Silné tìlo
SKILL_EUNHYEONG	Neviditelnı
SKILL_FIRE	Spálit
SKILL_FISHMIND	Koule na ryby je aktivní
SKILL_GEOMGYEONG	Aura meèe
SKILL_GICHEON	Pomoc draka
SKILL_GONGPO	Strach
SKILL_GRADE_NAME_GRAND_MASTER	%s velmistr
SKILL_GRADE_NAME_MASTER	%s mistr
SKILL_GRADE_NAME_PERFECT_MASTER	%s perfektní mistr
SKILL_GROUP_ASSASSIN_1	Èepel
SKILL_GROUP_ASSASSIN_2	Luk
SKILL_GROUP_HORSE	Jezdecké umìní
SKILL_GROUP_SHAMAN_1	Drak
SKILL_GROUP_SHAMAN_2	Uzdravení
SKILL_GROUP_SURA_1	Zbranì
SKILL_GROUP_SURA_2	Magie
SKILL_GROUP_WARRIOR_1	Tìlo
SKILL_GROUP_WARRIOR_2	Mentálnì
SKILL_GWIGEOM	Zaèarovaná èepel
SKILL_GYEONGGONG	Polehouèku našlapovat
SKILL_HEUKSIN	Tmavá ochrana
SKILL_HOSIN	Poehnání
SKILL_INC_ATKSPD	Rychlost útoku zvıšena
SKILL_INC_MOVSPD	Rychlost pohybu zvıšena
SKILL_JEONGWI	Bojové zuøení
SKILL_JEUNGRYEOK	Útok +
SKILL_JUMAGAP	Zaèarované brnìní
SKILL_KWAESOK	Rychlost
SKILL_MUYEONG	Duch plamene
SKILL_NEED_EMPTY_BOTTLE	Nemám ádnou prázdnou láhev
SKILL_NEED_POISON_BOTTLE	Nemám ádnou láhev s jedem
SKILL_ONLY_FOR_GUILD_WAR	Tuto schopnost mùeš pouít jenom ve válce cechù.
SKILL_PABEOP	Zrušit kouzlo
SKILL_POWERFUL_STRIKE	Omraèující útok
SKILL_SLOW	Pomalu
SKILL_STUN	Omráèit
SKILL_SUMMON_DESCRIPTION	Šance zaøíkávání: %d%%
SKILL_TOOLTIP_INT	Inteligence
SKILL_TOOLTIP_LEVEL	Úroveò
SKILL_TOXICDIE	Otrávení
SNOWDUNGEON	Strání vì Nemere	
SPIDERBARONESA	Pavouèí královna	
STAT_MINUS_CON	Pøizpùsobení vitality (zbıvající šance: %d)
STAT_MINUS_DEX	Pøizpùsobení pohyblivosti (zbıvající šance: %d)
STAT_MINUS_INT	Pøizpùsobení inteligence (zbıvající šance: %d)
STAT_MINUS_STR	Pøizpùsobení síly (zbıvající šance: %d)
STAT_TOOLTIP_ACTION	Akce
STAT_TOOLTIP_ATT	Hodnota útoku
STAT_TOOLTIP_ATT_SPEED	Rychlost útoku
STAT_TOOLTIP_BASE_LEVEL	Level
STAT_TOOLTIP_CAST_SPEED	Rychlost kouzla
STAT_TOOLTIP_CON	Zvyšuje HP a obranu
STAT_TOOLTIP_CONQUEROR_LEVEL	Úroveò šampiona
STAT_TOOLTIP_DEF	Obrana
STAT_TOOLTIP_DEX	Zvyšuje hodnotu útoku
STAT_TOOLTIP_DODGE_PER	Invaze
STAT_TOOLTIP_EXP	EXP
STAT_TOOLTIP_HP	HP
STAT_TOOLTIP_IMG_CON	VIT: Zvyšuje ZB a Obranu
STAT_TOOLTIP_IMG_DEX	POH: Zvyšuje hodnotu útoku
STAT_TOOLTIP_IMG_INT	INT: Zvyšuje MB a Magickı útok
STAT_TOOLTIP_IMG_STR	SÍL: Zvyšuje Hodnotu útoku a Poškození
STAT_TOOLTIP_INT	Zvyšuje MB a Magickı útok
STAT_TOOLTIP_LEVEL	Level
STAT_TOOLTIP_MAG_ATT	Magická hodnota útoku
STAT_TOOLTIP_MAG_DEF	Magická obrana
STAT_TOOLTIP_MOVE_SPEED	Rychlost pohybu
STAT_TOOLTIP_PASSIVE	Bonus za relikvii
STAT_TOOLTIP_POINT	Body
STAT_TOOLTIP_REACTION	Reakce
STAT_TOOLTIP_SHP	Na Yoharu obdríte menší sráku z maximální hodnoty HP.
STAT_TOOLTIP_SIMMUNE	Obdríte menší sráku za odolnost vùèi zmìnám stavu na Yoharu.
STAT_TOOLTIP_SMOVE	Na Yoharu se vám sníí rychlost pohybu.
STAT_TOOLTIP_SP	MB
STAT_TOOLTIP_SPECIAL_ACTION	Zvláštní akce
STAT_TOOLTIP_SSTR	Pøi útocích na Yoharu vám bude odeèteno menší poškození.
STAT_TOOLTIP_STAT	Hodnoty
STAT_TOOLTIP_STR	Zvyšuje hodnotu útoku a poškození
STAT_TOOLTIP_SUNGMA_HP	Mìní HP v závislosti na vùli nepøítele Sung Ma (VIT) a na mapì.
STAT_TOOLTIP_SUNGMA_IMMUNE	Mìní náchylnost ke stavovım efektùm v závislosti na vùli nepøítele Sung Ma (INT) a na mapì.
STAT_TOOLTIP_SUNGMA_MOVE	Mìní rychlost pohybu v závislosti na vùli nepøítele Sung Ma (RES) a na mapì.
STAT_TOOLTIP_SUNGMA_STR	Mìní útok v závislosti na vùli nepøítele Sung Ma (STR) a na mapì.
STAT_TOOLTIP_SUPPORT_SKILL	Sekundární dovednosti
STAT_TOOLTIP_TAB_CHARACTER	Postava
STAT_TOOLTIP_TAB_EMOTICON	Emoce
STAT_TOOLTIP_TAB_QUEST	Quest
STAT_TOOLTIP_TAB_SKILL	Dovednosti
SWITCHBOT_1	Aktivní	
SWITCHBOT_10	Zavøít kartu	
SWITCHBOT_12	Tento slot ji byl vyuit!	
SWITCHBOT_13	Pøidán èlánek!	
SWITCHBOT_14	Stav	
SWITCHBOT_15	Maximalizovat	
SWITCHBOT_16	Minimalizovat	
SWITCHBOT_17	Pøetáhnìte objekt sem	
SWITCHBOT_2	Zmìna	
SWITCHBOT_3	Mít	
SWITCHBOT_4	Aktivace	
SWITCHBOT_5	Dokonèeno	
SWITCHBOT_7	Zaèít mìnit
SWITCHBOT_8	ádné	
SWITCHBOT_9	Bonus tohoto objektu nelze zmìnit.
SWITCHBOT_CLEAR_ATTR	Odstranit	
SWITCHBOT_CLEAR_CONFIGURATION	Odstranit	
SWITCHBOT_CONFIGURATION_TITLE	Uloit bonus
SWITCHBOT_EMPTY_ATTR	Vybrat bonus	
SWITCHBOT_LOAD_CONFIGURATION	Pouit	
SWITCHBOT_SAVE	Uloit	
SWITCHBOT_SAVE_BUTTON	Seznam Uloení	
SWITCHBOT_SELECT_ATTR	Bonusy	
SWITCHBOT_START	Start	
SWITCHBOT_STOP	Stop	
SWITCHBOT_TITLE	[F9] Switchbot	
SYSTEM_DUNGEON_BUTTON	[F5] Dungeon info	
SYSTEM_OPTION_CPU_TILING_1	Modus CPU-Tiling mùe zvıšit rychlost slabšího poèítaèe.
SYSTEM_OPTION_CPU_TILING_2	Pokud se vyskytují problémy s grafikou, zvol ,Nastavení systému‘ nebo ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	a pøepni do GPU-Tiling módu
SYSTEM_OPTION_GPU_TILING_1	Modus GPU-Tiling mùe na slabších poèítaèích bìet pomalu
SYSTEM_OPTION_GPU_TILING_2	Pokud se vyskytují problémy s grafikou, zvol ,Nastavení systému‘ nebo ,CONFIG.exe‘
SYSTEM_OPTION_GPU_TILING_3	a pøepni do módu CPU-Tiling
SYSTEM_WHISPER	[System]	
TARGET_BUTTON_ACCEPT_FIGHT	Souhlasit
TARGET_BUTTON_AVENGE	Pomsta
TARGET_BUTTON_BUILDING_DESTROY	Znièit
TARGET_BUTTON_DISMOUNT	Sesednout
TARGET_BUTTON_EMOTION_ALLOW	Emoce
TARGET_BUTTON_EXCHANGE	Obchodování
TARGET_BUTTON_EXCLUDE	Vylouèit
TARGET_BUTTON_EXIT_OBSERVER	Ukonèit diváckı modus
TARGET_BUTTON_FIGHT	Souboj
TARGET_BUTTON_FRIEND	Pøítel
TARGET_BUTTON_INVITE_GUILD	Pozvánka od cechu
TARGET_BUTTON_INVITE_PARTY	Pozvánka od skupiny
TARGET_BUTTON_LEAVE_PARTY	Opustit skupinu
TARGET_BUTTON_REQUEST_ENTER_PARTY	Pøistoupit ke skupinì
TARGET_BUTTON_VIEW_EQUIPMENT	Vızbroj
TARGET_BUTTON_WHISPER	Šeptat
TARGET_INFO_DAMAGE	Útok : %s - %s
TARGET_INFO_EXP	BZK : %s
TARGET_INFO_GOLD_MIN_MAX	Yang: %s ~ %s	
TARGET_INFO_MAINRACE	Rasa : %s
TARGET_INFO_MAX_HP	Max. ZB : %s
TARGET_INFO_NEWRACE_DESERT	Pouštní monstra	
TARGET_INFO_NEWRACE_FIRE	oheò	
TARGET_INFO_NEWRACE_ICE	Led	
TARGET_INFO_NEWRACE_INSECT	hmyz	
TARGET_INFO_NEWRACE_TREE	stromy	
TARGET_INFO_NO_ITEM_TEXT	Z této pøíšery není moné získat ádnı pøedmìt.	
TARGET_INFO_NO_RACE	ádnı	
TARGET_INFO_RACE_ANIMAL	Zvíøe
TARGET_INFO_RACE_DARK	Temnota
TARGET_INFO_RACE_DEVIL	Ïábel
TARGET_INFO_RACE_EARTH	Zemì
TARGET_INFO_RACE_ELEC	Lightning 
TARGET_INFO_RACE_FIRE	Oheò
TARGET_INFO_RACE_HUMAN	Lidé
TARGET_INFO_RACE_ICE	Led	
TARGET_INFO_RACE_METIN	Metin kámen	
TARGET_INFO_RACE_MILGYO	Ezoterik	
TARGET_INFO_RACE_ORC	Orkové	
TARGET_INFO_RACE_UNDEAD	Nemrtvı
TARGET_INFO_RACE_WIND	Vítr	
TARGET_INFO_RACE_ZODIAC	Zodiac
TARGET_INFO_REGEN_INFO	Regenerace %d%%, a %d pøevrat.	
TARGET_INFO_RESIST	Obrana:
TARGET_INFO_RESISTS	Odolnosti:	
TARGET_INFO_RESISTS_LINE0	Meè: %d%% Èepel: %d%% Zvon: %d%%
TARGET_INFO_RESISTS_LINE1	Dıka: %d%% Vìjíø: %d%% Šípy: %d%%
TARGET_INFO_RESIST_BELL	Zvon: %d%%
TARGET_INFO_RESIST_BOW	Luk: %d%%
TARGET_INFO_RESIST_DAGGER	Dıky: %d%%
TARGET_INFO_RESIST_FAN	Vìjíø: %d%%
TARGET_INFO_RESIST_MAGIC	Kouzlo: %d%%
TARGET_INFO_RESIST_SWORD	Meè: %d%%
TARGET_INFO_RESIST_TWOHAND	Dvojruè: %d%%
